count, x, y, z
302, 0, 0, 0
303, 2.37306, -3.53205, -0.144874
304, 0, 0, 0
305, 2.36498, -3.5807, -0.151965
306, 0, 0, 0
307, 2.35472, -3.62606, -0.158916
308, 0, 0, 0
309, 2.34235, -3.66815, -0.165724
310, 0, 0, 0
311, 2.32791, -3.707, -0.172386
312, 0, 0, 0
313, 2.31145, -3.74263, -0.178898
314, 0, 0, 0
315, 2.29301, -3.77507, -0.185258
316, 0, 0, 0
317, 2.27264, -3.80433, -0.191461
318, 0, 0, 0
319, 2.25037, -3.8304, -0.197504
320, 0, 0, 0
321, 2.22623, -3.8533, -0.203384
322, 0, 0, 0
323, 2.20026, -3.87302, -0.209095
324, 0, 0, 0
325, 2.17248, -3.88956, -0.214635
326, 0, 0, 0
327, 2.14291, -3.9029, -0.219998
328, 0, 0, 0
329, 2.11158, -3.91303, -0.225181
330, 0, 0, 0
331, 2.07851, -3.91993, -0.230177
332, 0, 0, 0
333, 2.04371, -3.92356, -0.234982
334, 0, 0, 0
335, 2.00719, -3.92391, -0.23959
336, 0, 0, 0
337, 1.96897, -3.92093, -0.243995
338, 0, 0, 0
339, 1.92907, -3.91459, -0.24819
340, 0, 0, 0
341, 1.88747, -3.90482, -0.252168
342, 0, 0, 0
343, 1.8442, -3.89158, -0.255923
344, 0, 0, 0
345, 1.79926, -3.87481, -0.259444
346, 0, 0, 0
347, 1.75264, -3.85444, -0.262725
348, 0, 0, 0
349, 1.70434, -3.83038, -0.265754
350, 0, 0, 0
351, 1.65438, -3.80256, -0.268523
352, 0, 0, 0
353, 1.60273, -3.77087, -0.271018
354, 0, 0, 0
355, 1.54939, -3.73521, -0.273228
356, 0, 0, 0
357, 1.49435, -3.69546, -0.275138
358, 0, 0, 0
359, 1.43761, -3.65149, -0.276735
360, 0, 0, 0
361, 1.37915, -3.60314, -0.277999
362, 0, 0, 0
363, 1.31895, -3.55026, -0.278913
364, 0, 0, 0
365, 1.25699, -3.49264, -0.279456
366, 0, 0, 0
367, 1.19326, -3.43009, -0.279604
368, 0, 0, 0
369, 1.12773, -3.36236, -0.279329
370, 0, 0, 0
371, 1.06037, -3.28919, -0.278602
372, 0, 0, 0
