count,x,y,z,time
368,-0.475441,-1.04678,-0.168948,949
280,0,0,0,950
432,-0.524346,-1.04292,-0.174057,951
680,0,0,0,952
804,-0.570623,-1.03392,-0.178309,953
999,0,0,0,954
781,-0.614142,-1.02,-0.181712,955
658,0,0,0,956
154,-0.65477,-1.00136,-0.184273,957
971,0,0,0,958
815,-0.692364,-0.978145,-0.185993,959
491,0,0,0,960
737,-0.726769,-0.950487,-0.186868,961
608,0,0,0,962
69,-0.757815,-0.918494,-0.186891,963
407,0,0,0,964
906,-0.785312,-0.882253,-0.186049,965
741,0,0,0,966
859,-0.809043,-0.841831,-0.184325,967
623,0,0,0,968
515,-0.828762,-0.797281,-0.181698,969
534,0,0,0,970
446,-0.844183,-0.748638,-0.178138,971
712,0,0,0,972
484,-0.854972,-0.695928,-0.17361,973
565,0,0,0,974
62,-0.860735,-0.639161,-0.16807,975
274,0,0,0,976
65,-0.860997,-0.578343,-0.161465,977
202,0,0,0,978
187,-0.855186,-0.513475,-0.15373,979
560,0,0,0,980
833,-0.842592,-0.444562,-0.144783,981
784,0,0,0,982
760,-0.822326,-0.371624,-0.134525,983
306,0,0,0,984
98,-0.793246,-0.294723,-0.122833,985
411,0,0,0,986
85,-0.753845,-0.214003,-0.109549,987
324,0,0,0,988
382,-0.702073,-0.129785,-0.0944742,989
997,0,0,0,990
385,-0.635034,-0.0427517,-0.0773507,991
963,0,0,0,992
498,-0.548434,0.0455951,-0.0578501,993
959,0,0,0,994
457,-0.435572,0.131762,-0.0355839,995
425,0,0,0,996
118,-0.285568,0.206707,-0.0102871,997
595,0,0,0,998
586,-0.0827892,0.243483,0.0169093,999
617,0,0,0,1000
360,0.159205,0.165057,0.0361051,1001
683,0,0,0,1002
501,0.298172,-0.0202297,0.031926,1003
735,0,0,0,1004
404,0.34823,-0.199481,0.0182224,1005
255,0,0,0,1006
792,0.354826,-0.353811,0.00224226,1007
869,0,0,0,1008
308,0.338624,-0.485362,-0.0138823,1009
295,0,0,0,1010
710,0.309244,-0.597963,-0.0294647,1011
291,0,0,0,1012
683,0.271721,-0.694733,-0.0442672,1013
486,0,0,0,1014
84,0.228969,-0.778018,-0.0582104,1015
663,0,0,0,1016
422,0.182811,-0.84958,-0.0712765,1017
740,0,0,0,1018
461,0.134464,-0.910762,-0.0834718,1019
412,0,0,0,1020
909,0.084782,-0.962605,-0.0948111,1021
873,0,0,0,1022
726,0.0343943,-1.00593,-0.105311,1023
910,0,0,0,1024
924,-0.0162178,-1.04139,-0.114989,1025
666,0,0,0,1026
387,-0.0666715,-1.06953,-0.123857,1027
462,0,0,0,1028
857,-0.116651,-1.09076,-0.131925,1029
908,0,0,0,1030
317,-0.165885,-1.10544,-0.139202,1031
32,0,0,0,1032
309,-0.214135,-1.11385,-0.145689,1033
310,0,0,0,1034
494,-0.26118,-1.11624,-0.151388,1035
739,0,0,0,1036
887,-0.306814,-1.11277,-0.156293,1037
722,0,0,0,1038
620,-0.35083,-1.10361,-0.160397,1039
346,0,0,0,1040
881,-0.393024,-1.08884,-0.163688,1041
648,0,0,0,1042
449,-0.433181,-1.06856,-0.16615,1043
602,0,0,0,1044
661,-0.471074,-1.04281,-0.16776,1045
404,0,0,0,1046
784,-0.506456,-1.01159,-0.168492,1047
388,0,0,0,1048
835,-0.539053,-0.974897,-0.168312,1049
220,0,0,0,1050
